79.485,29.4,3
79.564,29.38,1
79.617,29.36,2
79.617,29.36,5
79.67,29.33,4
79.723,29.32,5
79.723,29.31,10
79.776,29.28,11
79.882,29.24,4
79.909,29.24,4
79.909,29.22,4
79.935,29.23,3
79.935,29.22,12
80.015,29.19,6
80.041,29.14,4
80.147,29.05,11
80.2,28.99,9
80.226,29,5
80.2,29.03,5
80.252,29,6
80.305,28.96,7
80.358,28.94,13
80.358,28.92,15
80.411,28.87,7
80.516,28.8,5
80.542,28.75,5
80.674,28.69,5
80.727,28.72,1
80.674,28.79,5
80.648,28.84,2
80.621,28.91,9
80.595,28.96,31
80.621,28.96,60
80.621,29.03,126
80.542,29.08,152
80.569,29.08,184
80.569,29.12,299
80.569,29.17,449
80.542,29.22,660
80.516,29.29,883
80.437,29.39,1022
80.358,29.5,1090
80.226,29.65,1129
80.12,29.81,1147
79.909,30.03,1180
79.67,30.24,1192
79.564,30.42,1187
79.591,30.47,1186
79.67,30.45,1167
79.803,30.39,1123
79.803,30.54,1214
79.219,31.04,1220
78.872,31.33,1219
78.792,31.51,1229
78.659,31.69,1227
78.284,32.04,1232
78.043,32.29,1236
77.827,32.57,1244
77.908,32.43,1258
77.908,32.55,1295
76.012,33.51,1315
72.475,35.09,1266
72.866,35.08,1268
74.889,34.38,1268
75.219,34.31,1289
75.63,34.23,1249
75.685,34.24,1248
75.876,34.21,1232
75.739,34.2,1241
75.657,34.34,1245
75.411,34.55,1244
75.082,34.88,1256
74.807,35.02,1253
74.2,35.39,1235
74.393,35.33,1251
74.2,35.48,1240
74.338,35.37,1244
74.089,35.62,1247
73.618,35.98,1240
73.535,36,1244
73.535,36.03,1246
73.423,36.21,1251
73.034,36.35,1245
72.894,36.62,1228
72.81,36.54,1235
72.671,36.52,1237
72.503,36.57,1242
72.223,36.73,1230
72.307,36.82,1241
72.307,36.74,1243
72.026,36.84,1236
72.391,36.56,1226
72.307,36.3,1206
72.531,36.11,1200
72.699,36.04,1215
72.587,36.19,1224
72.447,36.29,1219
72.419,36.31,1227
72.531,36.25,1212
72.587,36.1,1202
72.699,36.01,1195
72.81,35.89,1192
72.894,35.79,1207
73.117,35.54,1146
73.229,35.46,1167
73.145,35.4,1159
73.229,35.35,1205
73.312,35.35,1148
73.368,35.16,730
73.84,34.66,334
74.006,34.46,231
74.117,34.23,163
74.366,33.95,115
74.586,33.74,73
74.779,33.5,36
74.972,33.31,21
74.972,33.24,12
74.917,33.22,5
75.082,33.03,4
75.082,32.99,4
75.274,32.81,5
75.411,32.63,4
75.438,32.59,5
75.685,32.42,4
75.657,32.42,0
75.739,32.31,4
75.876,32.19,4
75.985,32.11,0
76.04,32,4
76.04,31.93,5
76.094,31.8,5
76.149,31.7,3
76.339,31.54,2
76.367,31.49,5
76.394,31.47,4
76.584,31.35,5
76.693,31.26,0
76.693,31.18,14
76.801,31.1,11
76.882,31.04,3
76.828,31.02,5
76.937,30.94,6
77.018,30.9,10
76.665,31.22,5
76.503,31.33,8
76.611,31.17,5
76.882,31.05,2
76.964,30.91,4
77.072,30.78,6
76.991,30.81,6
77.234,30.66,4
77.288,30.61,5
77.369,30.52,4
77.423,30.41,4
77.369,30.44,1
77.585,30.31,4
77.639,30.25,9
77.585,30.21,5
77.72,30.1,1
77.962,29.96,5
77.962,29.98,4
77.935,29.96,3
78.016,29.9,4
78.096,29.83,7
78.123,29.83,5
78.096,29.81,4
78.069,29.82,5
78.204,29.75,1
78.23,29.72,4
78.311,29.69,4
78.311,29.64,0
78.23,29.73,0
78.338,29.68,11
78.418,29.64,2
78.445,29.6,7
78.525,29.58,28
78.605,29.53,62
78.579,29.55,126
78.552,29.63,227
78.632,29.68,334
78.605,29.78,440
78.525,29.91,555
78.418,30.04,675
